Run Number,Min Time,Max Time,Zero Time
68475,35158.767186,35160.789216,35158.767186
68475,35164.839275,35166.861305,35164.839275
68475,35195.252978,35197.275007,35195.252978
68475,35201.325066,35203.347096,35201.325066
68475,35244.093546,35246.115575,35244.093546
68475,35250.165635,35252.187664,35250.165635
68475,35280.579358,35282.601388,35280.579358
68475,35286.651447,35288.673477,35286.651447
68475,35528.766571,35530.788601,35528.766571
68475,35534.838660,35536.860690,35534.838660
68475,35565.253167,35567.275197,35565.253167
68475,35571.325256,35573.347286,35571.325256
68475,35614.098804,35616.120833,35614.098804
68475,35620.170893,35622.192922,35620.170893
68475,35650.584560,35652.606590,35650.584560
68475,35656.656649,35658.678678,35656.656649
68475,36861.422902,36863.444932,36861.422902
68475,36867.494991,36869.517020,36867.494991
68475,36897.908516,36899.930545,36897.908516
68475,36903.980604,36906.002634,36903.980604
68475,36946.779780,36948.801809,36946.779780
68475,36952.851868,36954.873898,36952.851868
68475,36983.265542,36985.287571,36983.265542
68475,36989.337630,36991.359660,36989.337630
68475,37032.132030,37034.154059,37032.132030
68475,37038.204118,37040.226148,37038.204118
68475,37068.617618,37070.639647,37068.617618
68475,37074.689706,37076.711736,37074.689706
68475,37117.484459,37119.506488,37117.484459
68475,37123.556547,37125.578577,37123.556547
68475,37153.970172,37155.992202,37153.970172
68475,37160.042261,37162.064290,37160.042261
68475,37202.836090,37204.858120,37202.836090
68475,37208.908179,37210.930208,37208.908179
68475,37239.321902,37241.343932,37239.321902
68475,37245.393991,37247.416021,37245.393991
68475,37288.204115,37290.226144,37288.204115
68475,37294.276203,37296.298233,37294.276203
68475,37324.689841,37326.711871,37324.689841
68475,37330.761930,37332.783959,37330.761930
68475,37373.553490,37375.575520,37373.553490
68475,37379.625579,37381.647608,37379.625579
68475,37410.039178,37412.061207,37410.039178
68475,37416.111266,37418.133296,37416.111266
68475,37458.919934,37460.941963,37458.919934
68475,37464.992022,37467.014052,37464.992022
68475,37495.405648,37497.427677,37495.405648
68475,37501.477736,37503.499766,37501.477736
68475,37544.287153,37546.309182,37544.287153
68475,37550.359241,37552.381271,37550.359241
68475,37580.772796,37582.794825,37580.772796
68475,37586.844885,37588.866914,37586.844885
68475,37629.643256,37631.665285,37629.643256
68475,37635.715344,37637.737374,37635.715344
68475,37666.128871,37668.150900,37666.128871
68475,37672.200960,37674.222989,37672.200960
68475,37899.393116,37901.415146,37899.393116
68475,37905.465205,37907.487234,37905.465205
68475,37935.878727,37937.900757,37935.878727
68475,37941.950816,37943.972846,37941.950816
68475,37985.239861,37987.261890,37985.239861
68475,37991.311950,37993.333979,37991.311950
68475,38021.725424,38023.747454,38021.725424
68475,38027.797513,38029.819542,38027.797513
68475,38070.574967,38072.596997,38070.574967
68475,38076.647056,38078.669086,38076.647056
68475,38107.060816,38109.082845,38107.060816
68475,38113.132904,38115.154934,38113.132904
68475,38155.940033,38157.962063,38155.940033
68475,38162.012122,38164.034151,38162.012122
68475,38192.425784,38194.447813,38192.425784
68475,38198.497872,38200.519902,38198.497872
68475,38241.303459,38243.325489,38241.303459
68475,38247.375548,38249.397577,38247.375548
68475,38277.789094,38279.811124,38277.789094
68475,38283.861183,38285.883212,38283.861183
68475,38326.664630,38328.686660,38326.664630
68475,38332.736719,38334.758748,38332.736719
68475,38363.150267,38365.172296,38363.150267
68475,38369.222355,38371.244385,38369.222355
68475,38412.026918,38414.048948,38412.026918
68475,38418.099007,38420.121036,38418.099007
68475,38448.512474,38450.534504,38448.512474
68475,38454.584563,38456.606592,38454.584563
68475,38497.390176,38499.412205,38497.390176
68475,38503.462265,38505.484294,38503.462265
68475,38533.875870,38535.897899,38533.875870
68475,38539.947958,38541.969988,38539.947958
68475,38582.756526,38584.778555,38582.756526
68475,38588.828614,38590.850644,38588.828614
68475,38619.242205,38621.264234,38619.242205
68475,38625.314293,38627.336323,38625.314293
68475,38668.105604,38670.127633,38668.105604
68475,38674.177692,38676.199722,38674.177692
68475,38704.591789,38706.613819,38704.591789
68475,38710.663878,38712.685907,38710.663878
68475,38847.158404,38849.180434,38847.158404
68475,38853.230493,38855.252522,38853.230493
68475,38883.644143,38885.666173,38883.644143
68475,38889.716232,38891.738262,38889.716232
68475,38932.517776,38934.539805,38932.517776
68475,38938.589864,38940.611894,38938.589864
68475,38969.003388,38971.025418,38969.003388
68475,38975.075477,38977.097506,38975.075477
68475,39017.893111,39019.915141,39017.893111
68475,39023.965200,39025.987229,39023.965200
68475,39054.378838,39056.400868,39054.378838
68475,39060.450927,39062.472956,39060.450927
68475,39103.266665,39105.288695,39103.266665
68475,39109.338754,39111.360783,39109.338754
68475,39139.752456,39141.774486,39139.752456
68475,39145.824545,39147.846574,39145.824545
68475,39188.633859,39190.655888,39188.633859
68475,39194.705947,39196.727976,39194.705947
68475,39225.119449,39227.141479,39225.119449
68475,39231.191538,39233.213567,39231.191538
68475,39273.988437,39276.010467,39273.988437
68475,39280.060526,39282.082555,39280.060526
68475,39310.474101,39312.496131,39310.474101
68475,39316.546190,39318.568219,39316.546190
68475,39359.356276,39361.378305,39359.356276
68475,39365.428364,39367.450394,39365.428364
68475,39395.842143,39397.864172,39395.842143
68475,39401.914231,39403.936261,39401.914231
68475,39444.720582,39446.742612,39444.720582
68475,39450.792671,39452.814700,39450.792671
68475,39481.206357,39483.228387,39481.206357
68475,39487.278446,39489.300475,39487.278446
68475,39530.082668,39532.104697,39530.082668
68475,39536.154756,39538.176786,39536.154756
68475,39566.568512,39568.590542,39566.568512
68475,39572.640601,39574.662630,39572.640601
68475,39615.410543,39617.432573,39615.410543
68475,39621.482632,39623.504661,39621.482632
68475,39651.896244,39653.918273,39651.896244
68475,39657.968332,39659.990362,39657.968332
68475,39787.133322,39789.155351,39787.133322
