Run Number,Min Time,Max Time,Zero Time
68489,37509.950290,37511.972320,37509.950290
68489,37544.358795,37546.380825,37544.358795
68489,37558.580136,37560.602166,37558.580136
68489,37592.988641,37595.010671,37592.988641
68489,37748.221031,37750.243061,37748.221031
68489,37782.629537,37784.651566,37782.629537
68489,37796.850943,37798.872973,37796.850943
68489,37831.259449,37833.281479,37831.259449
68489,37857.869973,37859.892003,37857.869973
68489,37892.278479,37894.300509,37892.278479
68489,37906.499920,37908.521950,37906.499920
68489,37940.908425,37942.930455,37940.908425
68489,37967.543351,37969.565380,37967.543351
68489,38001.951856,38003.973886,38001.951856
68489,38016.173211,38018.195241,38016.173211
68489,38050.581717,38052.603747,38050.581717
68489,38077.183529,38079.205558,38077.183529
68489,38111.592034,38113.614064,38111.592034
68489,38125.813311,38127.835340,38125.813311
68489,38160.221816,38162.243846,38160.221816
68489,38186.815348,38188.837378,38186.815348
68489,38221.223854,38223.245884,38221.223854
68489,38235.445146,38237.467176,38235.445146
68489,38269.853652,38271.875682,38269.853652
68489,38296.507630,38298.529660,38296.507630
68489,38330.916136,38332.938166,38330.916136
68489,38345.138265,38347.160295,38345.138265
68489,38379.546771,38381.568800,38379.546771
68489,38406.136968,38408.158998,38406.136968
68489,38440.545474,38442.567504,38440.545474
68489,38454.766867,38456.788897,38454.766867
68489,38489.175373,38491.197403,38489.175373
68489,38515.806409,38517.828439,38515.806409
68489,38550.214915,38552.236945,38550.214915
68489,38564.436298,38566.458328,38564.436298
68489,38598.844804,38600.866834,38598.844804
68489,38625.453236,38627.475265,38625.453236
68489,38659.861741,38661.883771,38659.861741
68489,38674.083101,38676.105131,38674.083101
68489,38708.491607,38710.513636,38708.491607
68489,38735.059493,38737.081523,38735.059493
68489,38769.467999,38771.490029,38769.467999
68489,38783.689391,38785.711421,38783.689391
68489,38818.097897,38820.119926,38818.097897
68489,38934.489406,38936.511436,38934.489406
68489,38968.897912,38970.919942,38968.897912
68489,38983.119308,38985.141338,38983.119308
68489,39017.527814,39019.549844,39017.527814
68489,39044.135376,39046.157406,39044.135376
68489,39078.543882,39080.565912,39078.543882
68489,39092.765338,39094.787368,39092.765338
68489,39127.173844,39129.195874,39127.173844
68489,39153.784750,39155.806779,39153.784750
68489,39188.193255,39190.215285,39188.193255
68489,39202.414738,39204.436768,39202.414738
68489,39236.823244,39238.845274,39236.823244
68489,39263.427087,39265.449117,39263.427087
68489,39297.835592,39299.857622,39297.835592
68489,39312.057111,39314.079140,39312.057111
68489,39346.465616,39348.487646,39346.465616
68489,39373.055300,39375.077330,39373.055300
68489,39407.463806,39409.485836,39407.463806
68489,39421.685119,39423.707149,39421.685119
68489,39456.093625,39458.115655,39456.093625
68489,39482.736823,39484.758852,39482.736823
68489,39517.145328,39519.167358,39517.145328
68489,39531.366887,39533.388917,39531.366887
68489,39565.775392,39567.797422,39565.775392
68489,39592.394963,39594.416993,39592.394963
68489,39626.803469,39628.825499,39626.803469
68489,39641.024893,39643.046922,39641.024893
68489,39675.433398,39677.455428,39675.433398
68489,39702.033152,39704.055182,39702.033152
68489,39736.441658,39738.463688,39736.441658
68489,39750.662970,39752.684999,39750.662970
68489,39785.071475,39787.093505,39785.071475
68489,39811.683344,39813.705374,39811.683344
68489,39846.091849,39848.113879,39846.091849
68489,39860.313188,39862.335218,39860.313188
68489,39894.721693,39896.743723,39894.721693
68489,39921.314080,39923.336110,39921.314080
68489,39955.722586,39957.744615,39955.722586
68489,39969.943904,39971.965934,39969.943904
68489,40004.352410,40006.374439,40004.352410
68489,40209.992800,40212.014829,40209.992800
68489,40244.401305,40246.423335,40244.401305
68489,40258.622732,40260.644762,40258.622732
68489,40293.031237,40295.053267,40293.031237
68489,40319.652657,40321.674687,40319.652657
68489,40354.061162,40356.083192,40354.061162
68489,40368.282655,40370.304685,40368.282655
68489,40402.691161,40404.713190,40402.691161
68489,40429.265380,40431.287409,40429.265380
68489,40463.673885,40465.695915,40463.673885
68489,40477.895304,40479.917334,40477.895304
68489,40512.303810,40514.325839,40512.303810
